"downloads","Kataloge"
"referenzen","Referenzen"
"More Information","Zusatzinformation"
"Search entire store here...","Shop durchsuchen..."
"Only %1 left","Noch %1 übrig"
"videoinstructional","Service Videos"
"videouser","Anwendervideos"
"We use cookies to make your experience better.","Für ein besseres Online-Erlebnis verwendet diese Website Cookies."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Um die neuen Datenschutzrichtlinien zu erfüllen, müssen wir Sie um Ihre Zustimmung für Cookies fragen. Mit einem Klick auf ""Cookies zulassen"" stimmen Sie der Verwendung von Cookies zu."
"<a href=""%1"">Learn more</a>.","<a href=""%1"" target=""_blank"">Zur Datenschutzrichtlinie.</a>"
"Allow Cookies","Cookies zulassen"
"Incl. Tax","Inkl. MwSt."
"Your %store_name order confirmation %increment_id","%store_name: Auftragsbestätigung zu Bestellung Nr. %increment_id"
"Your %store_name order %increment_id","%store_name: Eingangsbestätigung zu Bestellung Nr. %increment_id"
"Your %store_name Invoice %invoice_id","%store_name: Rechnung %invoice_id zu Bestellung Nr. %order_id"
"Your %store_name Shipping %shipment_id","%store_name: Lieferschein %shipment_id zu Bestellung Nr. %order_id"
"Your %store_name Shipping %shipment_id Update","%store_name Lieferschein %shipment_id Aktualisierung" 
"Your %store_name Credit memo %creditmemo_id for your Order %order_id","%store_name Gutschrift %creditmemo_id zu Bestellung Nr. %order_id"
"Your %store_name Credit Memo %creditmemo_id Update","%store_name Gutschrift %creditmemo_id Aktualisierung"
"Your %store_name Order %order_id Update","%store_name Bestellung Nr. %order_id Aktualisierung"
"Your %store_name Invoice %invoice_id Update","%store_name Rechnung Nr. %invoice_id Aktualisierung"
"Thank you for your order from %store_name.","Vielen Dank für Ihre Bestellung bei %store_name. Hiermit bestätigen wir Ihren Auftrag."
"Thank you for your order from %store_name. We will send you the order confirmation as soon as possible.","Vielen Dank für Ihre Bestellung bei %store_name. Bei der Preiszusammenfassung unterhalb handelt es sich um Endverbraucherpreise. Wir werden Ihnen die vollständige Auftragsbestätigung in Kürze per Mail zusenden."
"Message from LEITNER ERGOMÖBEL","Kommentar von LEITNER ERGOMÖBEL"
"Welcome to our Online ErgoShop.","Willkommen in unserem Online ErgoShop."
"Welcome to our Online LeitnerShop.","Willkommen im LeitnerShop, unserem Onlineshop für Händler und Wiederverkäufer."
